trial,device,batch_size,learning_rate,hidden_size,epochs,accuracy,time_sec,energy_kwh,co2_kg
17,mps,64,0.0037079607299123265,128,6,0.9748,15.946960926055908,8.859422206878662e-05,2.064245374202728e-05
18,mps,256,0.00014642703550983623,128,2,0.897,3.1988298892974854,1.7771266566382513e-05,4.140705109967125e-06
19,mps,128,0.00743375904247639,64,6,0.9685,11.438030004501343,6.354461113611857e-05,1.4805894394715626e-05
20,mps,128,0.0001095391192034887,64,2,0.8957,3.971334934234619,2.206296788321601e-05,5.140671516789331e-06
21,mps,64,0.0026057474654932367,128,5,0.9753,14.51932692527771,8.066292736265395e-05,1.8794462075498368e-05
22,mps,256,0.0014563729457483005,128,6,0.9726,10.047789096832275,5.5821050537957086e-05,1.3006304775344e-05
23,mps,64,0.0001306592696423636,256,5,0.9469,16.61497712135315,9.230541653103299e-05,2.1507162051730686e-05
24,mps,128,0.000279484814494359,128,3,0.9344,6.089724063873291,3.383179505666097e-05,7.882808248202006e-06
25,mps,32,0.007850353217944703,256,5,0.9676,39.6654257774353,0.00022036347124311658,5.134468879964616e-05
26,mps,64,0.0029875733482354703,128,6,0.9715,15.209566116333008,8.449758821063572e-05,1.9687938053078123e-05
27,mps,32,0.0010027137566817556,256,5,0.9807,40.325299978256226,0.00022402943902545506,5.2198859292931024e-05
28,mps,32,0.00024941195681727813,64,3,0.9406,10.929232835769653,6.071795490052965e-05,1.4147283491823409e-05
29,mps,64,0.00013027692564773844,256,5,0.9506,20.16417407989502,0.0001120231827100118,2.610140157143275e-05
30,mps,64,0.00028887517800625634,64,3,0.9331,7.694748878479004,4.27485982577006e-05,9.96042339404424e-06
31,mps,128,0.00035838880027666174,64,4,0.9363,7.708967208862305,4.282758368386163e-05,9.97882699833976e-06
32,mps,32,0.00010074476789705695,64,2,0.9162,7.404829978942871,4.113786750369602e-05,9.585123128361172e-06
33,mps,64,0.00022966403303107533,256,4,0.9585,15.915624856948853,8.842013279596964e-05,2.0601890941460925e-05
34,mps,64,0.0001433692657412611,256,5,0.9518,20.07214379310608,0.00011151190466350979,2.598227378659778e-05
35,mps,64,0.00011290291566225333,64,5,0.927,12.615234851837158,7.008463409211901e-05,1.632971974346373e-05
36,mps,64,0.0030677812793642087,256,6,0.9775,23.28725504875183,0.0001293736325369941,3.0144056381119623e-05
37,mps,128,0.00018905581722101063,128,5,0.937,9.517815113067627,5.287673870722453e-05,1.2320280118783315e-05
38,mps,128,0.00011199609335753239,128,4,0.9208,7.732913017272949,4.29606212510003e-05,1.000982475148307e-05
39,mps,256,0.003513545922044693,64,2,0.9525,3.160585880279541,1.755881044599745e-05,4.091202833917406e-06
40,mps,32,0.0001230596694706446,128,6,0.9508,22.351721048355103,0.0001241762227482266,2.8933059900336795e-05
41,mps,64,0.007763890831833788,64,4,0.9647,10.17298936843872,5.651660097969903e-05,1.3168368028269874e-05
42,mps,256,0.0006462114579568587,128,6,0.9593,9.09813117980957,5.054516659842597e-05,1.1777023817433251e-05
43,mps,128,0.0008421925239799796,64,3,0.9479,5.780375957489014,3.2113194465637206e-05,7.482374310493469e-06
44,mps,256,0.0001664360112879959,128,5,0.9266,7.623294115066528,4.235162734985352e-05,9.86792917251587e-06
45,mps,128,0.0004394135148611491,128,5,0.9568,9.569438934326172,5.316353771421644e-05,1.2387104287412431e-05
46,mps,64,0.0012284623096310413,256,5,0.9759,20.04454493522644,0.00011135857767528958,2.5946548598342472e-05
47,mps,32,0.0015952278800905192,64,4,0.9736,14.368788957595825,7.98265986972385e-05,1.8599597496456574e-05
48,mps,128,0.00835197051029962,64,5,0.9679,9.465797901153564,5.2587759494781495e-05,1.2252947962284088e-05
49,mps,64,0.00032610612897247663,256,6,0.9726,23.70806121826172,0.0001317114445898268,3.0688766589429645e-05
