tracker,trial,batch_size,learning_rate,epochs,channels,noise_factor,psnr,time_sec,energy_kwh,co2_kg
eco2ai,19,16,0.0041033887396962,1,32,0.1719108340300869,23.290473458862305,49.47551393508911,2.0042128253116218e-06,6.748465172619773e-07
cumulator,0,8,0.0001469938763738,4,128,0.0539374660499284,30.74558459625244,687.6175880432129,0.0038200976822111,0.0008900827599551
cumulator,1,32,0.0001434777517153,4,32,0.1039711303149677,25.419417756053207,133.1671118736267,0.0007398172828886,0.000172377426913
cumulator,2,32,0.0002783330139857,2,32,0.2390525659280534,20.94105827770294,70.90222811698914,0.0003939012395011,9.177898880375756e-05
cumulator,3,16,0.0016972820744538,2,64,0.1750697492335764,23.53081614074707,157.4296600818634,0.0008746092173788,0.0002037839476492
cumulator,4,8,0.0009002367239202,1,32,0.0931947133465826,26.59260909576416,44.571457862854,0.0002476192050509,5.769527477688259e-05
cumulator,5,16,0.0005995910824099,3,64,0.1958989389853819,22.947376657104492,228.0976378917694,0.0012672090941005,0.0002952597189254
cumulator,6,8,0.004234279722295,2,32,0.1042803781925301,25.894499617004396,73.49711298942566,0.0004083172890875,9.513792835738923e-05
cumulator,7,8,0.0001636170631007,2,128,0.2028223891260511,22.90218111419678,384.95175099372864,0.0021386208269331,0.0004982986526754
cumulator,8,16,0.0050500641943942,4,64,0.1326296926826039,25.238172680664064,298.0302081108093,0.0016557233783933,0.0003857835471656
cumulator,9,8,0.0016780593869929,4,32,0.1200698538604998,25.463904539489747,148.25019192695618,0.0008236121773719,0.0001919016373276
cumulator,10,16,0.0045768205457585,4,32,0.2485700182410956,21.72937834777832,210.42822098731995,0.0011690456721517,0.0002723876416113
cumulator,11,16,0.0097820571730881,1,32,0.2563080358065015,20.763166061401368,121.82566690444946,0.000676809255282,0.0001576965564807
cumulator,12,32,0.0021081201337602,2,128,0.1123762435853401,25.83484001281543,359.36384201049805,0.0019964657823244,0.0004651765272816
cumulator,13,8,0.0067729594222096,2,64,0.2328360205338875,21.137155931091307,152.85360288619995,0.0008491866827011,0.0001978604970693
cumulator,14,16,0.000419163626718,1,64,0.0865648988118984,27.002570196533203,95.41850781440736,0.0005301028158929,0.000123513956103
cumulator,15,8,0.0010472289681243,3,128,0.2289062791601567,22.33524750366211,543.8812322616577,0.0030215623948309,0.0007040240379956
cumulator,16,8,0.0054974491141398,4,32,0.151566214421794,23.947017156982422,180.789932012558,0.0010043884992599,0.0002340225203275
cumulator,17,16,0.0004025177426968,2,64,0.1499554651590732,24.387076458740236,158.68331694602966,0.0008815739830334,0.0002054067380468
cumulator,18,16,0.0005232227221127,2,32,0.2839136881561,20.89601748352051,88.86329388618469,0.0004936849660343,0.000115028597086
cumulator,19,16,0.0079451797314533,3,32,0.1702491956642796,23.402280950927736,124.92267608642578,0.0006940148671468,0.0001617054640452
