tracker,model,dataset,batch_size,epochs_from,epochs_to,accuracy_from,accuracy_to,delta_accuracy,co2_from,co2_to,delta_co2_kg,incremental_AER
cumulator,SimpleNN,MNIST,128,3,3,0.9346,0.9737,0.039100000000000024,4.614768278598785e-06,4.790491343869103e-06,1.7572306527031785e-07,222509.207541149
cumulator,SimpleNN,MNIST,128,3,4,0.9737,0.9644,-0.009299999999999975,4.790491343869103e-06,6.377477546532949e-06,1.586986202663846e-06,-5860.164369664588
cumulator,SimpleNN,MNIST,128,4,5,0.9753,0.9802,0.0049000000000000155,6.3319857822524175e-06,8.19731909301546e-06,1.8653333107630425e-06,2626.8763720279017
cumulator,SimpleNN,MNIST,128,5,5,0.9802,0.9705,-0.009699999999999931,8.19731909301546e-06,8.261425557401446e-06,6.410646438598581e-08,-151310.79358231506
cumulator,SimpleNN,MNIST,128,5,5,0.9672,0.965,-0.0021999999999999797,7.655641998185052e-06,7.760247687498728e-06,1.0460568931367537e-07,-21031.36086033485
cumulator,SimpleNN,MNIST,128,5,5,0.965,0.9622,-0.0027999999999999137,7.760247687498728e-06,7.875561551253e-06,1.1531386375427307e-07,-24281.55565029497
eco2ai,SimpleNN,MNIST,32,1,1,0.9565,0.9561,-0.00040000000000006697,3.5669087747755165e-08,4.9018757593031115e-08,1.334966984527595e-08,-29963.28782929527
eco2ai,SimpleNN,MNIST,32,1,2,0.9561,0.9711,0.015000000000000013,4.9018757593031115e-08,8.117149176703914e-08,3.215273417400803e-08,466523.3108581439
eco2ai,SimpleNN,MNIST,32,2,3,0.9716,0.9593,-0.012299999999999978,6.992892908338024e-08,1.0593469976585076e-07,3.6005770682470524e-08,-341611.90739317395
eco2ai,SimpleNN,MNIST,32,3,4,0.9261,0.9687,0.04259999999999997,8.653299651332241e-08,1.1746832077265345e-07,3.093532425933104e-08,1377066.541888615
eco2ai,SimpleNN,MNIST,32,4,4,0.9687,0.9668,-0.0019000000000000128,1.1746832077265345e-07,1.1990096365341308e-07,2.432642880759633e-09,-781043.5370631575
eco2ai,SimpleNN,MNIST,32,4,4,0.9697,0.9704,0.0007000000000000339,1.1786345268068669e-07,1.223079295922323e-07,4.444476911545613e-09,157498.8494555148
eco2ai,SimpleNN,MNIST,32,4,5,0.9757,0.9767,0.0010000000000000009,8.712670730418834e-08,1.4677823943015317e-07,5.965153212596483e-08,16764.028757690965
eco2ai,SimpleNN,MNIST,64,1,2,0.9067,0.9548,0.04810000000000003,3.0767773079369374e-08,5.8264407964190096e-08,2.7496634884820722e-08,1749304.9677345506
eco2ai,SimpleNN,MNIST,64,2,3,0.9548,0.9646,0.009800000000000031,5.8264407964190096e-08,9.484980321321568e-08,3.6585395249025585e-08,267866.45144310815
eco2ai,SimpleNN,MNIST,64,3,4,0.9716,0.9761,0.0044999999999999485,5.3713008659466436e-08,8.029120008127515e-08,2.6578191421808716e-08,169311.74618252905
eco2ai,SimpleNN,MNIST,64,4,4,0.9761,0.9762,9.999999999998899e-05,8.029120008127515e-08,1.1265329898049858e-07,3.236209889922343e-08,3090.034435386656
eco2ai,SimpleNN,MNIST,64,4,4,0.9734,0.9682,-0.0052000000000000934,1.025181293567657e-07,1.1568700955817149e-07,1.3168880201405792e-08,-394870.3246191721
eco2ai,SimpleNN,MNIST,64,4,5,0.939,0.9731,0.03410000000000002,1.0109351810938896e-07,1.209291012187551e-07,1.9835583109366144e-08,1719132.722843846
eco2ai,SimpleNN,MNIST,64,5,5,0.9739,0.9736,-0.00029999999999996696,1.1646292922638764e-07,1.2788859029629526e-07,1.1425661069907615e-08,-26256.686432795846
eco2ai,SimpleNN,MNIST,64,5,5,0.9478,0.944,-0.0038000000000000256,1.1530939088785497e-07,1.1689473612951577e-07,1.5853452416607942e-09,-2396954.2407174213
eco2ai,SimpleNN,MNIST,128,1,1,0.9205,0.9209,0.00040000000000006697,4.286338287897688e-08,4.455836129698217e-08,1.6949784180052894e-09,235991.2054047279
eco2ai,SimpleNN,MNIST,128,1,2,0.8787,0.9596,0.08089999999999997,3.854613639347773e-08,5.6718248374616406e-08,1.8172111981138675e-08,4451876.594419419
eco2ai,SimpleNN,MNIST,128,2,2,0.9596,0.9633,0.0037000000000000366,5.6718248374616406e-08,6.105930267057743e-08,4.341054295961024e-09,852327.5102646302
eco2ai,SimpleNN,MNIST,128,2,2,0.9194,0.9194,0.0,5.7066277680682144e-08,5.948503223030824e-08,2.418754549626098e-09,0.0
eco2ai,SimpleNN,MNIST,128,2,2,0.9194,0.9599,0.04049999999999998,5.948503223030824e-08,6.02188405457238e-08,7.338083154155582e-10,55191525.01980669
eco2ai,SimpleNN,MNIST,128,2,2,0.9599,0.9212,-0.03869999999999996,6.02188405457238e-08,6.2743624942243e-08,2.524784396519206e-09,-15328041.496673424
eco2ai,SimpleNN,MNIST,128,2,3,0.9212,0.9089,-0.012299999999999978,6.2743624942243e-08,9.001532882972187e-08,2.7271703887478865e-08,-451016.9240157826
eco2ai,SimpleNN,MNIST,128,3,4,0.9694,0.9691,-0.000300000000000078,7.370748738077338e-08,1.1071098816617276e-07,3.700350078539938e-08,-8107.3410253780685
eco2ai,SimpleNN,MNIST,128,4,5,0.9402,0.9699,0.02969999999999995,9.146917352330737e-08,1.0919592405578017e-07,1.77267505324728e-08,1675433.9688818837
