tracker,trial,batch_size,learning_rate,hidden_size,epochs,accuracy,time_sec,energy_kwh,co2_kg
eco2ai,49,32,0.0069865525123148,256,1,0.9561,3.633579015731811,1.455798024229201e-07,4.9018757593031115e-08
cumulator,0,32,0.0027607947554847,128,4,0.9762,6.499098062515259,3.610610564549764e-05,8.41272261540095e-06
cumulator,1,64,0.0078609086752646,256,2,0.9622,2.9047060012817383,1.6137250264485677e-05,3.759979311625163e-06
cumulator,2,128,0.0026235950396267,256,5,0.9802,6.332692861557007,3.518162700865004e-05,8.19731909301546e-06
cumulator,3,64,0.0007893992346763,128,3,0.9659,4.0818281173706055,2.2676817576090495e-05,5.283698495229085e-06
cumulator,4,32,0.0087707338060296,128,1,0.9485,1.778618097305298,9.881205028957791e-06,2.3023207717471653e-06
cumulator,5,128,0.0005682790610124,256,5,0.9705,6.382217168807983,3.545676204893324e-05,8.261425557401446e-06
cumulator,6,128,0.0024748854928708,256,3,0.9755,3.925867557525635,2.1810371345943876e-05,5.081816523604923e-06
cumulator,7,128,0.0004185022022453,64,3,0.9346,3.5650570392608643,1.9805872440338138e-05,4.614768278598785e-06
cumulator,8,32,0.0011043671152311,64,2,0.9602,3.313554048538208,1.8408632278442386e-05,4.2892113208770754e-06
cumulator,9,128,0.0075640629555971,64,1,0.9591,1.3295369148254397,7.386316193474663e-06,1.7210116730795963e-06
cumulator,10,32,0.0002161215461939,256,1,0.9303,1.9446399211883545,1.0803549819522432e-05,2.5172271079487273e-06
cumulator,11,32,0.0004363007894777,64,5,0.963,7.975521087646484,4.4308450486924914e-05,1.0323868963453505e-05
cumulator,12,32,0.0039363828264722,256,4,0.9725,7.31804633140564,4.065580765406291e-05,9.472803183396657e-06
cumulator,13,128,0.0010965460712737,64,4,0.9644,4.926806688308716,2.7371148268381753e-05,6.377477546532949e-06
cumulator,14,32,0.0005682225450697,128,2,0.9611,3.4689078330993652,1.927171018388536e-05,4.490308472845289e-06
cumulator,15,128,0.0001600128686812,64,1,0.8813,1.3204641342163086,7.33591185675727e-06,1.7092674626244435e-06
cumulator,16,32,0.0003746404774457,128,4,0.9659,6.705913066864014,3.7255065970950655e-05,8.680430371231503e-06
cumulator,17,32,0.0088841142369039,256,4,0.9654,7.2850470542907715,4.047248363494873e-05,9.430088686943056e-06
cumulator,18,64,0.0007922296882288,256,1,0.9511,1.5848608016967771,8.804776933458116e-06,2.051513025495741e-06
cumulator,19,32,0.003146013727635,256,1,0.9636,1.9840781688690183,1.102265649371677e-05,2.568278963036007e-06
cumulator,20,32,0.0018318185116184,64,2,0.9639,3.3247177600860596,1.847065422270033e-05,4.303662433889177e-06
cumulator,21,32,0.0001956185712677,256,1,0.93,1.957395076751709,1.087441709306505e-05,2.533739182684157e-06
cumulator,22,128,0.0026117058647589,128,4,0.9753,4.8916661739349365,2.717590464486016e-05,6.3319857822524175e-06
cumulator,23,128,0.0008489352969453,128,1,0.9315,1.370840072631836,7.615783479478624e-06,1.7744775507185194e-06
cumulator,24,128,0.0022714411115642,64,5,0.9672,5.914231061935425,3.2856832610236275e-05,7.655641998185052e-06
cumulator,25,32,0.0016126083115601,256,3,0.9753,5.5806379318237305,3.1003544065687394e-05,7.223825767305162e-06
cumulator,26,32,0.0041622995894391,128,3,0.9678,5.1073899269104,2.8374388482835557e-05,6.611232516500685e-06
cumulator,27,64,0.0005150433008086,64,1,0.9219,1.4912230968475342,8.284567462073432e-06,1.9303042186631097e-06
cumulator,28,64,0.0006207759686466,128,1,0.9343,1.5184409618377686,8.43577782313029e-06,1.9655362327893574e-06
cumulator,29,32,0.000143937579834,64,4,0.9346,6.6882100105285645,3.715672228071425e-05,8.65751629140642e-06
cumulator,30,32,0.0003294155241478,128,4,0.9626,6.716050148010254,3.731138441297743e-05,8.693552568223741e-06
cumulator,31,64,0.0017106028995015,64,4,0.9673,5.319546937942505,2.9553038544125028e-05,6.885857980781131e-06
cumulator,32,32,0.0050364880992936,128,5,0.969,8.372336149215698,4.651297860675388e-05,1.0837524015373651e-05
cumulator,33,128,0.002641447147676,128,3,0.9737,3.700809955596924,2.056004868613349e-05,4.790491343869103e-06
cumulator,34,32,0.0002065544217516,128,4,0.9556,6.6604437828063965,3.700246016184489e-05,8.62157321770986e-06
cumulator,35,32,0.001126524152099,128,4,0.9717,6.744511842727661,3.746950493918525e-05,8.730394650830163e-06
cumulator,36,128,0.0080054797365249,64,5,0.965,5.995041131973267,3.3305784066518146e-05,7.760247687498728e-06
cumulator,37,64,0.0001331394992076,256,3,0.9383,4.488684177398682,2.4937134318881564e-05,5.810352296299405e-06
cumulator,38,128,0.0005565969772864,128,5,0.9622,6.084125757217407,3.380069335301717e-05,7.875561551253e-06
cumulator,39,32,0.0009163002282845,256,2,0.9724,4.056171655654907,2.253428300221761e-05,5.250487939516703e-06
cumulator,40,64,0.000523258605365,256,4,0.9733,5.924195051193237,3.291218810611301e-05,7.668539828724331e-06
cumulator,41,64,0.000438615477566,256,1,0.9365,1.6016120910644531,8.897839652167425e-06,2.0731966389550104e-06
cumulator,42,64,0.0005904159735266,64,5,0.9619,6.64116096496582,3.689533339606391e-05,8.596612681282892e-06
cumulator,43,64,0.0047851836032228,128,1,0.9677,1.519822120666504,8.443449603186714e-06,1.967323757542505e-06
cumulator,44,64,0.0040292662205182,64,4,0.9691,5.391503810882568,2.995279365115695e-05,6.97900092071957e-06
cumulator,45,128,0.0002040482331229,64,5,0.9294,5.946935176849365,3.3038522137535944e-05,7.697975658045875e-06
cumulator,46,64,0.0003085094503858,64,5,0.9496,6.719908237457275,3.733282354142931e-05,8.698547885153028e-06
cumulator,47,32,0.0009938261459796,128,5,0.9759,8.668813228607178,4.81600734922621e-05,1.122129712369707e-05
cumulator,48,128,0.0023808714199468,256,2,0.9725,2.6726927757263184,1.48482879002889e-05,3.4596510807673137e-06
cumulator,49,32,0.0031031098806256,128,2,0.9727,3.49231219291687,1.9401727782355417e-05,4.5206025732888114e-06
