trial,model,dataset,device,batch_size,learning_rate,epochs,accuracy,time_sec,energy_kwh,co2_kg,tool,hidden_size,accuracy_pct,energy_wh,co2_g,relative_accuracy,aer_energy,aer_co2,aer_time,aer_relative
44,SimpleNN,MNIST,mps,256,0.0008690214507142,5,0.9602,10.584519147872925,5.8802884154849585e-05,2.169848512567197e-06,CodeCarbon,,96.02000000000001,0.058802884154849584,0.0021698485125671973,0.9790965636790048,1632.9131024788528,44251.93714855078,9.07173945821585,16.650485392870934
45,SimpleNN,MNIST,mps,256,0.0038590567177495,4,0.9749,9.156741857528688,5.087078809738159e-05,1.7651633129999446e-06,CodeCarbon,,97.49,0.05087078809738159,0.0017651633129999447,0.994085857040889,1916.4240155543803,55230.017121935874,10.64680008641322,19.541388962520447
46,SimpleNN,MNIST,mps,32,0.0010755822511099,4,0.9741,17.800351858139038,9.8890843656328e-05,4.195517740387821e-06,CodeCarbon,,97.41,0.098890843656328,0.0041955177403878215,0.99327011318446,985.0254725151873,23217.635111464384,5.4723637361954856,10.04410597038021
47,SimpleNN,MNIST,mps,128,0.0004326528759789,6,0.9609,14.651451110839844,8.139695061577691e-05,3.319023520452668e-06,CodeCarbon,,96.09,0.08139695061577691,0.003319023520452668,0.9798103395533801,1180.5110544445283,28951.286246653257,6.558394746914047,12.037433001371758
48,SimpleNN,MNIST,mps,128,0.0035603518958749,4,0.9762,10.649795770645142,5.916553205913967e-05,2.1614627669916776e-06,CodeCarbon,,97.61999999999999,0.05916553205913967,0.0021614627669916775,0.9954114408075863,1649.9471331116006,45163.85916555364,9.166372961731113,16.824177965857043
49,SimpleNN,MNIST,mps,128,0.0009073749790331,3,0.9619,8.771427154541016,4.87301508585612e-05,1.6696085752804729e-06,CodeCarbon,,96.19,0.0487301508585612,0.001669608575280473,0.9808300193739165,1973.931914949136,57612.305916577665,10.96628841638409,20.127785407863115
0,SimpleNN,MNIST,mps,64,0.0087244514189856,2,0.9665,5.407789945602417,9.524936e-06,2.738738094e-06,CarbonTracker,,96.65,0.009524936,0.002738738094,0.9855205465483838,10147.049806948835,35289.975413034146,17.87236578569314,103.46741926123009
1,SimpleNN,MNIST,mps,256,0.0001769879138835,2,0.9074,3.1271910667419434,6.05338e-06,1.740549586e-06,CarbonTracker,,90.74,0.00605338,0.001740549586,0.9252574691546853,14989.972544264527,52132.95888256297,29.016455363099144,152.84972513780488
2,SimpleNN,MNIST,mps,64,0.0084801968210563,3,0.9651,8.096158027648926,1.4182498e-05,4.077943171e-06,CarbonTracker,,96.50999999999999,0.014182498,0.004077943171,0.9840929947996327,6804.8661103283775,23666.34255384526,11.920468902708153,69.3878465415354
3,SimpleNN,MNIST,mps,256,0.0044064813814515,4,0.9702,5.960777997970581,1.1341493e-05,3.261059038e-06,CarbonTracker,,97.02,0.011341493000000001,0.003261059038,0.9892933618843682,8554.429297800561,29751.071314397956,16.276398824621825,87.22778931172185
4,SimpleNN,MNIST,mps,128,0.0011285385009525,4,0.9718,7.692008972167969,1.4875142e-05,4.277101537e-06,CarbonTracker,,97.18,0.014875142000000001,0.004277101537,0.9909248495972265,6533.046877804595,22720.994383538295,12.633890619684252,66.61616067915361
5,SimpleNN,MNIST,mps,256,0.0020463965668717,4,0.9697,6.206995964050293,1.2422233e-05,3.571808269e-06,CarbonTracker,,96.97,0.012422233,0.003571808269,0.9887835219741,7806.164962450793,27148.713675817966,15.622694224650907,79.5978888798898
6,SimpleNN,MNIST,mps,32,0.0017723375159641,3,0.9734,11.940813064575195,1.9546703e-05,5.620332009e-06,CarbonTracker,,97.34,0.019546703,0.005620332009,0.9925563373100846,4979.867960340934,17319.261539020586,8.15187370186529,50.7787086809517
7,SimpleNN,MNIST,mps,256,0.0013106622119068,3,0.9548,4.476102828979492,8.750812e-06,2.516151538e-06,CarbonTracker,,95.48,0.008750812,0.002516151538,0.9735902926481085,10910.987460363678,37946.840068263016,21.331055976157838,111.25713735458018
8,SimpleNN,MNIST,mps,128,0.0020238045918896,3,0.9712,5.7030558586120605,1.0684144e-05,3.072049379e-06,CarbonTracker,,97.11999999999999,0.010684144,0.003072049379,0.9903130417049045,9090.105861545857,31614.075172064473,17.02946672937478,92.68997513557517
9,SimpleNN,MNIST,mps,128,0.005795370130417,5,0.9728,9.750365018844604,2.0417983e-05,5.870854163e-06,CarbonTracker,,97.28,0.020417983,0.005870854163,0.9919445294177628,4764.427514706032,16569.990890438,9.977062377868542,48.58190593153901
10,SimpleNN,MNIST,mps,64,0.000307704470659,5,0.9626,13.939591884613035,2.3812188e-05,6.846801827e-06,CarbonTracker,,96.26,0.023812187999999998,0.006846801827,0.981543795248292,4042.4676640382654,14059.118758250574,6.905510634515409,41.22022702190543
11,SimpleNN,MNIST,mps,32,0.003228951768943,6,0.9745,24.32617497444153,4.1412713e-05,1.1907542340999998e-05,CarbonTracker,,97.45,0.041412713,0.011907542341,0.9936779851126746,2353.1421377778365,8183.8885984440785,4.00597299420836,23.99451552745831
12,SimpleNN,MNIST,mps,64,0.005390515632757,4,0.9659,11.539470672607422,2.8275477e-05,8.130146827e-06,CarbonTracker,,96.59,0.028275477,0.008130146827,0.984908738656062,3416.0343254333075,11880.474246692225,8.370401272329318,34.83261267903852
13,SimpleNN,MNIST,mps,32,0.0001484000075137,6,0.9554,26.672592163085938,7.2685163e-05,2.0899419454e-05,CarbonTracker,,95.54,0.072685163,0.020899419454,0.9742021005404303,1314.4360699858375,4571.418847795522,3.581954067899875,13.40303935949666
14,SimpleNN,MNIST,mps,64,0.0010711028495344,2,0.9612,5.459056854248047,1.0319091e-05,2.967084234e-06,CarbonTracker,,96.12,0.010319090999999999,0.002967084234,0.9801162434995411,9314.773946658675,32395.440243507426,17.60743706583726,94.980870262656
15,SimpleNN,MNIST,mps,256,0.0015050131592124,3,0.9607,4.560313940048218,9.438333e-06,2.71383701e-06,CarbonTracker,,96.07,0.009438333,0.00271383701,0.9796064035892729,10178.704226689182,35400.06258518819,21.066532099100225,103.79019299163029
16,SimpleNN,MNIST,mps,128,0.0028051225917558,3,0.9736,5.642416715621948,1.0097405e-05,2.903342259e-06,CarbonTracker,,97.36,0.010097405,0.002903342259,0.9927602732741918,9642.081307028884,33533.766023690834,17.255017647038194,98.31835736748123
17,SimpleNN,MNIST,mps,32,0.0003168508595521,4,0.9642,18.18913698196411,4.6319776e-05,1.3318487198e-05,CarbonTracker,,96.41999999999999,0.046319776,0.013318487198,0.98317528296115,2081.6162841547416,7239.560962635389,5.3009661808368165,21.225821190524538
18,SimpleNN,MNIST,mps,256,0.0002655508003757,6,0.9418,10.011934995651243,3.7131732e-05,1.0676616928e-05,CarbonTracker,,94.17999999999999,0.037131732,0.010676616928000001,0.9603344549811358,2536.375087485819,8821.146308341164,9.40677302049082,25.862904940204128
19,SimpleNN,MNIST,mps,32,0.0038654252189357,4,0.9691,16.67423725128174,3.7223778e-05,1.0703083241e-05,CarbonTracker,,96.91,0.037223778,0.010703083241,0.9881717140817782,2603.4434226423764,9054.400289887459,5.811960003900663,26.546787219765232
