trial,device,batch_size,learning_rate,epochs,channels,noise_factor,psnr,time_sec,energy_kwh,co2_kg,tool,noise_std,energy_wh,co2_g,relative_psnr,aer_energy,aer_co2,aer_time,aer_relative
10,mps,32,0.0082673673655666,3,128,0.2065305819916924,18.72004081189823,80.66082692146301,0.0001871055412334,6.187917038565983e-05,CodeCarbon,,0.1871055412334,0.06187917038565983,0.6173914733838388,100.05070233888154,302.5257238457822,0.23208342297464124,3.2996963602146323
11,mps,32,0.0001238787884977,3,64,0.2755883576933399,20.880301752791237,35.716866970062256,6.873341051657089e-05,2.273137605921929e-05,CodeCarbon,,0.06873341051657089,0.02273137605921929,0.688637401669625,303.78678427076187,918.5674328907464,0.5846061965707414,10.018961615524692
12,mps,32,0.0080481247452014,3,128,0.1731686651080274,19.099877037560216,81.63350915908813,0.0001767354144813,5.844958280642929e-05,CodeCarbon,,0.1767354144813,0.05844958280642929,0.6299185639688636,108.07045714983813,326.77525006148176,0.2339710400092957,3.56418981344293
13,mps,8,0.0037447514566176,4,64,0.0743353244901127,28.218994569396973,56.58259105682373,6.878378863541562e-05,2.2748037009927383e-05,CodeCarbon,,0.06878378863541562,0.022748037009927384,0.9306692656106405,410.2564736433766,1240.50240278236,0.4987222048749538,13.53035772053205
14,mps,16,0.0001654289610713,4,32,0.0755834707709558,27.227997970581058,29.706247806549072,3.265293277070775e-05,1.0798912620062926e-05,CodeCarbon,,0.03265293277070775,0.010798912620062925,0.897985958110987,833.8607181712852,2521.3647825981207,0.916574794228248,27.500928152969802
15,mps,16,0.0010208288038283,1,64,0.21725711850328,22.14647914123535,17.890955924987793,1.2938456666341568e-05,4.278980511779151e-06,CodeCarbon,,0.012938456666341568,0.004278980511779151,0.7303962381631841,1711.6785805565023,5175.643843263754,1.2378589067062642,56.45157355306955
16,mps,32,0.0036735245552178,1,128,0.1249306549832563,19.537476722424785,33.781310081481934,8.11512222135024e-05,2.6838169908005088e-05,CodeCarbon,,0.08115122221350239,0.026838169908005086,0.6443507074083759,240.75394294152764,727.9735089760086,0.5783516588107321,7.940123264109819
17,mps,32,0.0004024233541958,4,128,0.2206005459536711,22.38858325336688,102.71792101860046,0.0002428476091521,8.031407560357535e-05,CodeCarbon,,0.2428476091521,0.08031407560357536,0.7383808903337161,92.19190310967603,278.76288290828813,0.21796180288065495,3.0405112609992977
18,mps,8,0.0001136344358978,4,32,0.1164053617562242,25.42876262969971,42.82568597793579,4.7504681357665063e-05,1.5710653209244273e-05,CodeCarbon,,0.047504681357665064,0.015710653209244273,0.8386467414269626,535.2896157379798,1618.5681327837613,0.5937736208779202,17.653980985847486
19,mps,16,0.0008352860303097,2,32,0.1816952989506203,23.106481896972657,17.560503005981445,1.2629588505283389e-05,4.176832251290311e-06,CodeCarbon,,0.012629588505283389,0.004176832251290311,0.762057361222301,1829.5514447922374,5532.058868257058,1.3158211862782145,60.33904912289948
0,mps,16,0.0023214015568027,3,128,,24.580200207519532,59.24144792556763,0.000269900161,7.760533805600001e-05,CarbonTracker,0.1427688174745983,0.269900161,0.077605338056,0.8106609475201996,91.07145440909733,316.7333694208311,0.41491558812679064,3.0035585918757546
1,mps,8,0.0017887830675208,3,64,,22.134262791442872,22.93318486213684,0.000107686431,3.0963456514e-05,CarbonTracker,0.2276645348404295,0.107686431,0.030963456514,0.7299933399925265,205.54365657677775,714.8511595091122,0.9651630562655514,6.778879504257379
2,mps,8,0.0024154546545833,1,128,,20.987988777160645,21.599207162857056,9.0576557e-05,2.6043794354e-05,CarbonTracker,0.2799002604436354,0.090576557,0.026043794353999998,0.6921889457772368,231.71546228193068,805.8729266512256,0.971701813817153,7.64203198601639
3,mps,32,0.0001870900899231,2,32,,20.80487045312461,7.101539134979248,2.7386942e-05,7.874663213e-06,CarbonTracker,0.2380963633156566,0.027386941999999997,0.007874663213,0.6861496591636986,759.663873868233,2642.0013009291106,2.9296283605125,25.053898283484834
4,mps,8,0.0004157532174151,4,64,,27.75923663482666,37.18406677246094,9.0657549e-05,2.6067082326e-05,CarbonTracker,0.0889181199626183,0.090657549,0.026067082326,0.9155063377369008,306.19884324058506,1064.9153705682995,0.7465357892317888,10.098511903701487
5,mps,16,0.0019970576677648,2,128,,22.100816143798827,47.795746088027954,0.000129589055,3.7261194534e-05,CarbonTracker,0.2317335059944635,0.12958905499999998,0.037261194534,0.7288902614642156,170.5453916906704,593.1322497895856,0.4624013213036697,5.624628264047575
6,mps,8,0.0005840324569829,2,128,,30.321184562683104,50.700310945510864,0.000128882255,3.7057965968999994e-05,CarbonTracker,0.0580311433345956,0.128882255,0.037057965969,1.0,235.2626788124021,818.2096283440815,0.5980473097151255,7.75902004507913
7,mps,8,0.0053683421113737,2,32,,22.98675485229492,12.904172897338867,2.6968816e-05,7.754438192e-06,CarbonTracker,0.1845188830736161,0.026968816,0.007754438192,0.7581087343330637,852.3457185623173,2964.335298462963,1.781342751307626,28.110567936429383
8,mps,32,0.0007153941573101,3,128,,24.154579570879953,71.86829710006714,0.000184770368,5.3127670504e-05,CarbonTracker,0.15877430623913,0.184770368,0.053127670504,0.7966238759882581,130.72756109291265,454.65158441421494,0.33609505923380767,4.311426581064438
9,mps,8,0.0010981780119922,2,32,,27.521811753845213,12.443377017974854,2.6079042e-05,7.498598213e-06,CarbonTracker,0.0803673424650172,0.026079042,0.007498598213,0.9076760077413619,1055.3229583297275,3670.2608903797277,2.2117638735922798,34.804806393630635
10,mps,8,0.0018773724079554,2,64,,25.28140502471924,18.435107707977295,4.9170259e-05,1.4138096696e-05,CarbonTracker,0.1296663001478368,0.049170259,0.014138096696,0.8337868519765411,514.1605014673452,1788.175987781435,1.3713727863808138,16.957137687164533
11,mps,16,0.0018363487536851,3,128,,21.384933630371098,73.03063106536865,0.000188008379,5.4058707134000006e-05,CarbonTracker,0.2712740100831493,0.188008379,0.054058707134,0.7052802830365001,113.74457747104503,395.5872192311668,0.29282142737106787,3.751323673911896
12,mps,16,0.000176161875206,4,64,,24.957694891357423,35.50143218040466,7.5862951e-05,2.1813139947e-05,CarbonTracker,0.1365884644335173,0.075862951,0.021813139946999998,0.823110813489568,328.9839712583475,1144.1587479839143,0.7030052974914361,10.849970936268589
13,mps,8,0.007358600276332,1,32,,22.51859753112793,6.541277885437012,1.2654226e-05,3.638513852e-06,CarbonTracker,0.1977525175435711,0.012654226,0.003638513852,0.7426687926579895,1779.5317968185436,6188.954734568351,3.442537975838264,58.68938903556721
14,mps,8,0.0002866017370463,1,128,,21.122227532958984,25.267077207565308,6.7544884e-05,1.9421416767e-05,CarbonTracker,0.2816762107530762,0.067544884,0.019421416767,0.6966161724088622,312.71395081467585,1087.5739801253287,0.8359584830268655,10.313381727161781
15,mps,16,0.0014342615187678,3,128,,26.037444677734378,78.90049910545349,0.000181341932,5.2141880422e-05,CarbonTracker,0.1170411989366364,0.181341932,0.052141880422,0.8587212225797797,143.58204079205672,499.35760787692095,0.330003548430465,4.73537043037448
16,mps,32,0.0013953730704626,1,32,,26.802665198572907,6.6686317920684814,1.1781988e-05,3.387716222e-06,CarbonTracker,0.0805856792078299,0.011781988,0.003387716222,0.8839583804242097,2274.884781632175,7911.720888696358,4.019215040550205,75.02625027492896
17,mps,8,0.0003022833868971,1,128,,21.165299281311036,27.214447021484375,6.5217553e-05,1.8752231208e-05,CarbonTracker,0.2750382858641273,0.065217553,0.018752231208,0.698036689086336,324.53378435267325,1128.68165108169,0.7777229228505781,10.703202695849935
18,mps,32,0.0036530561546251,3,64,,25.29536392894416,25.809842824935913,5.2164565e-05,1.4999059848e-05,CarbonTracker,0.1281444015849598,0.052164565,0.014999059847999999,0.8342472200138142,484.91469120741556,1686.4632973857417,0.9800665622227387,15.992603791746642
19,mps,16,0.0002352815542472,1,128,,27.14171019592285,25.32986307144165,5.7056946e-05,1.6405783296e-05,CarbonTracker,0.085417752142907,0.057056946,0.016405783296,0.8951401664342198,475.695109863098,1654.3989217839082,1.0715300797075362,15.68853976927226
0,mps,16,0.0003595246628797,4,128,,25.32886449279785,108.35474514961244,2.180572261783027e-06,7.342292085540101e-07,Eco2AI,0.1332854690556562,0.002180572261783027,0.0007342292085540101,0.8353520767117587,11615.695997199722,34497.21721460861,0.2337587011793959,383.0884632223569
1,mps,8,0.0001895302415937,1,128,,25.191171640014648,38.2926070690155,9.107686147876848e-07,3.066685433596205e-07,Eco2AI,0.1288650934312664,0.0009107686147876848,0.0003066685433596205,0.8308109331262056,27659.24432506617,82144.62221667697,0.6578599256669079,912.2085671780437
2,mps,32,0.0017602304934454,1,32,,22.336845373574157,11.24583888053894,3.054868306154883e-07,1.028616926838635e-07,Eco2AI,0.1791793734056112,0.0003054868306154883,0.0001028616926838635,0.7366745625454411,73118.84878497172,217154.16877519715,1.9862320286509116,2411.4773165874453
3,mps,16,0.0092492353916469,4,32,,23.37420145263672,29.46305990219116,6.290450281706702e-07,2.11808267615459e-07,Eco2AI,0.1732091100345907,0.0006290450281706702,0.00021180826761545902,0.7708868169155839,37158.232568201645,110355.47250248474,0.7933392366655843,1225.487496749485
4,mps,16,0.0046274380032282,3,32,,25.725962969970706,24.388890266418457,5.332476608627227e-07,1.795519528797308e-07,Eco2AI,0.1131006667410429,0.0005332476608627227,0.0001795519528797308,0.8484484805264557,48243.930275005005,143278.65866879607,1.0548230234728346,1591.096488175458
5,mps,32,0.0005206288639379,1,64,,23.277702069511047,15.84164810180664,3.380054435808688e-07,1.1381116492988866e-07,Eco2AI,0.1640843315052952,0.0003380054435808688,0.00011381116492988866,0.767704243921901,68867.831899109,204529.16094700253,1.4693990120167086,2271.277751591079
